dyad;participant;eat;start.time;end.time;duration;raw.text;collaborative.processes;collaborative.categories;give.explanation;check.comprehension;give.task.information;outside.activity;disagree;show.hostility;show.active.listening;show.solidarity;elicit.partner.information;give.self.information;elicit.proposition;elicit.opinion;incorporate;give.recall;elicit.recall;tool.discourse;coordinate.teamwork;accept;give.opinion.against;give.proposition;elicit.task.information;manage.task;show.reflection;agree;use.social.convention;relax.atmosphere;check.reception;give.opinion.for;shared.emotion;unix.time.video;excel.time.video;human.time.video;human.time.emotion;;;;;
D02;D02P02;Oui;75,775;76,295;0,52;Hm hm /;show.active.listening;Interaction management;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1340112016;41079.55574;13:20:16;;;;;;
D02;D02P01;Oui;76,965;77,465;0,5;ok;show.reflection;Interaction management;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;1340112017;41079.55575;13:20:17;;;;;;
D02;D02P01;Oui;77,885;78,155;0,27;alors euh;show.reflection;Interaction management;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;1340112018;41079.55576;13:20:18;;;;;;
D02;D02P02;Oui;78,61;79,9;1,29;tu veux créer la boîte ou euh :;coordinate.teamwork;Interaction management;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;1340112019;41079.55577;13:20:19;;;;;;
D02;D02P01;Oui;80,105;81,745;1,64;ok alors jfais une boîte;coordinate.teamwork;Interaction management;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;1340112020;41079.55579;13:20:20;;;;;;
D02;D02P02;Oui;81,755;83,845;2,09;(rire) ça va être la première boîte de la journée;relax.atmosphere;Social relation;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;;1340112022;41079.55581;13:20:22;;;;;;
D02;D02P01;Oui;83,85;84,33;0,48;(rire);relax.atmosphere;Social relation;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;;1340112024;41079.55583;13:20:24;;;;;;
D02;D02P01;Oui;85,55;86,37;0,82;ok alors;show.reflection;Interaction management;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;1340112026;41079.55585;13:20:26;;;;;;
D02;D02P01;Oui;87,04;87,88;0,84;peace and love;give.recall;Information;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1340112027;41079.55587;13:20:27;;;;;;
D02;D02P01;Oui;89,09;89,39;0,3;euh (.);other;Other;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1340112029;41079.55589;13:20:29;;;;;;
D02;D02P01;Oui;91,8;93,69;1,89;tu me dis hein si t'as une idée à rajouter /;elicit.proposition;Transactivity;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1340112032;41079.55592;13:20:32;;;;;;
D02;D02P01;Oui;93,735;94,375;0,64;jsais pas si ::;other;Other;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1340112034;41079.55595;13:20:34;;;;;;
D02;D02P02;Oui;93,695;95,935;2,24;ouais moi j'en aurais 2-3 (..) avec des rimes par exemple;give.self.information;Information;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1340112034;41079.55595;13:20:34;;;;;;
D02;D02P01;Oui;95,075;95,515;0,44;ok;agree;Interaction management;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;;1340112035;41079.55596;13:20:35;;;;;;
D02;D02P01;Oui;96,655;97,025;0,37;ouais ok \;agree;Interaction management;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;;1340112037;41079.55598;13:20:37;;;;;;
D02;D02P01;Oui;97,68;101,04;3,36;euh parce que moi c'est une idée comme ça là mais : jsais pas quoi rajouter après \;give.self.information;Information;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1340112038;41079.55599;13:20:38;;;;;;
D02;D02P02;Oui;101,29;101,72;0,43;ouais /;agree;Interaction management;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;;1340112041;41079.55603;13:20:41;;;;;;
D02;D02P01;Oui;102,075;102,805;0,73;parce que ::: ;show.reflection;Interaction management;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;1340112042;41079.55604;13:20:42;;;;;;
D02;D02P01;Oui;102,99;103,59;0,6;alors attend \;show.reflection;Interaction management;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;1340112043;41079.55605;13:20:43;;;;;;
D02;D02P01;Oui;104,25;106,02;1,77;peace and love euh : (.);show.reflection;Interaction management;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;1340112044;41079.55607;13:20:44;;;;;;
D02;D02P01;Oui;107,045;110,545;3,5;bon jlaisse ça comme ça et si j'ai un truc à rajouter après je rajoute;manage.task;Task management;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;1340112047;41079.5561;13:20:47;;;;;;
D02;D02P02;Oui;110,695;112,965;2,27;ok moi jla vois pas \ ah ouais jla vois! c'est bon;tool.discourse;Tool;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;1340112051;41079.55614;13:20:51;;;;;;
D02;D02P01;Oui;112,66;113,81;1,15;voilà (rire);other;Other;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1340112053;41079.55617;13:20:53;;;;;;
D02;D02P02;Oui;113,845;114,585;0,74;nickel (rire);other;Other;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1340112054;41079.55618;13:20:54;;;;;;
D02;D02P01;Oui;115,93;116,26;0,33;euh;show.reflection;Interaction management;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;1340112056;41079.5562;13:20:56;;;;;;
D02;D02P02;Oui;115,795;118,105;2,31;et pis ça on la mettrait comment ce serait (...);tool.discourse;Tool;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;1340112056;41079.5562;13:20:56;;;;;;
D02;D02P02;Oui;118,14;119,79;1,65;ah ok ouais je regarde tac;tool.discourse;Tool;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;1340112058;41079.55623;13:20:58;;;;;;
D02;D02P01;Oui;119,845;120,185;0,34;jtattend;tool.discourse;Tool;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;1340112060;41079.55625;13:21:00;;;;;;
D02;D02P02;Oui;120,205;122,635;2,43;ah cool! jmamuse à la balader (rire);relax.atmosphere;Social relation;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;;1340112060;41079.55625;13:21:00;;;;;;
D02;D02P01;Oui;122,77;123,55;0,78;(rire);relax.atmosphere;Social relation;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;;1340112063;41079.55628;13:21:03;;;;;;
D02;D02P01;Oui;123,84;124,22;0,38;ok;other;Other;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1340112064;41079.55629;13:21:04;;;;;;
D02;D02P01;Oui;124,73;125,2;0,47;euh ::;show.reflection;Interaction management;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;1340112065;41079.5563;13:21:05;;;;;;
D02;D02P01;Oui;126,525;131,08;4,555;j'avais aussi une autre idée : euh par rapport à (..) attend faut que ça me revienne;give.proposition;Transactivity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;;1340112067;41079.55633;13:21:07;;;;;;
D02;D02P01;Oui;131,412;132,812;1,4;jvais en créer une deuxième;tool.discourse;Tool;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;1340112071;41079.55638;13:21:11;;;;;;
D02;D02P02;Oui;132,832;133,302;0,47;ouais /;show.active.listening;Interaction management;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1340112073;41079.5564;13:21:13;;;;;;
